,Name,Phone_Number,Adress,Website
0,12 Hats Media Lab,['0420457808'],"['30 Batavia Avenue, Wannanup, 6210                 ']",https://12hatsmedialab.com.au/index.html
1,Abba Caravans,['9529'],"['8 Ambrose Street, Rockingham, 6168                 ']",https://abbacaravans.com/
2,ACTON Mandurah,['9550'],"['Corner of Mandurah Terrace and Hackett Street, Mandurah, 6210                 ']",https://www.acton.com.au/contact/ACTON-mandurah
3,ACTON Rockingham,['9592'],"['Unit 4/1 Commodore Drive, Rockingham, 6168                 ']",https://www.acton.com.au/contact/ACTON-rockingham
4,Affordable Building Inspections,['0409906688'],"['Mandurah, Mandurah, 6210                 ']",https://www.facebook.com/buildinginspectionsmandurahperthandsurrounds/
5,Affordable Cuts Tree Service,['0406211653'],"['Port Kennedy, Port Kennedy, 6172                 ']",https://www.facebook.com/affordablecutstreeservice/
6,Allsorts Repairs & Services,['0475033664'],"['21 George Street, Pinjarra, 6208                 ']",https://www.facebook.com/pages/category/Shoe-Repair-Shop/Allsorts-Repairs-Services-Pinjarra-316049769091463/
7,Alphabet Academy WA,['0410023497'],"['21b Shayne Street, Halls Head, 6210                 ']",https://www.facebook.com/Alphabet-Academy-WA-761133793953605/
8,Andersen Auto Body Repairs,['0438815437'],"['24 Hampton Street, Greenfields, 6210                 ']",https://www.facebook.com/AndersenAutoBodyRepairs/
9,Andrew The Mobile Handyman,['0412977169'],"['Mandurah, Mandurah, 6210                 ']",https://www.facebook.com/AndrewThe-Mobile-Handyman-357136341158889/
10,Anhayka,['0448016123'],"['6 Achilles Place, Greenfields, 6210                 ']",https://www.facebook.com/Anhayka/
11,Applied Body Therapeutics,['95354111'],"['12 Cooper Street, Mandurah, 6210                 ']",https://www.remedialmassage.biz/
12,ARMSEC WA Security,['0430339500'],"['146 Pinjarra Road, Mandurah, 6210                 ']",http://www.armsecwa.com.au/
13,Aster and Ruby,['95850865'],"['Shop GO68 Mandurah Forum, 330 Pinjarra Road, Mandurah, 6210                 ']",https://asterandruby.com.au/
14,Attic Services,['0433563301'],"['2/24 Veneto Lane, Mandurah, 6210                 ']",http://www.atticservices.com.au/
15,Attitude For Dance,['0401'],"['7/28 Bakewell Drive, Port Kennedy, 6172                 ']",https://attitudefordance.com.au/
16,Aussie Outdoor Alfresco/Cafe Blinds,['95833035'],"['29 Panton Road, Greenfields, 6210                 ']",https://aussieoutdoor.com.au/
17,Australian Bee Company,['0408511325'],"['Mandurah, Mandurah, 6210                 ']",https://www.facebook.com/Australianbeecompany/
18,Auto One Pinjarra,['9531'],"['1 Murray Street, Pinjarra, 6208                 ']",https://www.autoone.com.au/pinjarra
19,Autocare Mandurah,['9535'],"['4 Tindale Street, Mandurah, 6210                 ']",https://www.facebook.com/autocaremandurah/
20,Automotive Inspection Services & Mechanical Repairs,['9583'],"['Unit 1/3 Rouse Road, Mandurah, 6210                 ']",https://www.facebook.com/AutomotiveInspectionServices/
21,Autowest Mandurah,['9535'],"['80 Pinjarra Road, Mandurah, 6210                 ']",http://autowest.vendecommerce.com/
22,Baldivis Enchanted Florist,['95242400'],"['Shop 80, Stockland Baldivis Shopping Centre, Baldivis, 6171                 ']",https://www.facebook.com/baldivisflorist/
23,Bassett-Scarfe Realty,['9535'],"['6 Mandurah Terrace, Mandurah, 6210                 ']",https://www.bassettscarfe.com.au/
24,Battery Force,['9537'],"['864 Pinjarra Road, Furnissdale, 6209                 ']",http://www.batteryforce.com.au/
25,Battery Wholesaler Mandurah,['9586'],"['3/26 Rafferty Road, Mandurah, 6210                 ']",https://www.facebook.com/batterywholesaler/
26,Battery World Mandurah,['13'],"['3 Kulin Way, Mandurah, 6210                 ']",http://www.batteryworld.com.au/
27,Bayshore Garden Chinese Restaurant,['9537'],"['Shop 3 Fitch St, Singleton, 6175                 ']",https://www.facebook.com/Bayshore-Garden-Chinese-Restaurant-982773581757219/
28,Bayshore Naturopathic Clinic,['9592'],"['Unit 6, 3 Goddard St, Rockingham, 6168                 ']",https://www.bayshorenaturopathic.com/
29,BE Surveys,['95355833'],"['Unit 3, 10 Thornborough Road, Mandurah, 6210                 ']",https://besurveys.com.au/
30,Bear-All Contracting,['0439979371'],"['Pinjarra, Pinjarra, 6208                 ']",https://www.facebook.com/Bearallcontracting/
31,Bedshed Mandurah,['95816799'],"['11 Gordon Mandurah, Mandurah, 6210                 ']",https://www.bedshed.com.au/
32,Berry Management Services Pty Ltd,['0478168051'],"['36 Peelwood Parade, Halls Head, 6210                 ']",http://www.berrymanagementservices.com.au/
33,Birdsong Press,['9581'],"['Studio 2/9 Birdsong Grove, Greenfields, 6210                 ']",http://birdsongpress.com/
34,Black Velvet and Honey Mobile Espresso Bar,['0484820760'],"['Pinjarra Road, Ravenswood, 6208                 ']",https://www.facebook.com/blackvelvethoney01/
35,Blue Bay Barber Shop,['95359350'],"['Old Coast Plaza, Cnr Mary St ']",https://www.facebook.com/pages/Blue-Bay-Barbers/288687411228334
36,Blue Cherry Bridal,['0458'],"['2/8 Thornborough Road, Greenfields, 6210                 ']",https://www.bluecherrybridal.com.au/
